"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WELS","T3SELF","T3PLACRE","SCHLOC"
"3001","300101","1","6",14.9369164200495,12.6727639637271,15.5092644957646,"1","2"
"3001","300102","2","6",11.7856884548979,9.10859748208153,12.2258719937154,"1","2"
"3001","300103","1","5",13.767235334356,7.93717331891133,11.2662537037369,"1","2"
"3001","300104","2","5",13.6116905942305,7.59659258998962,13.6396679210356,"1","2"
"3001","300105","1","5",15.1262343951665,7.74410526238883,15.5092644957646,"1","2"
"3001","300106","1","4",12.7164649701717,9.30383484260989,13.5030482431509,"1","2"
"3001","300107","2","5",11.3765303042273,7.59659258998962,13.519191438694,"1","2"
"3001","300108","1","5",11.5641735452372,9.10859748208153,15.5092644957646,"1","2"
"3001","300110","2","5",12.1989757718429,7.93717331891133,11.2662537037369,"1","2"
"3001","300111","1","5",14.9369164200495,7.59659258998962,13.5012444371768,"1","2"
"3001","300112","1","5",15.1262343951665,7.93717331891133,12.4611192738282,"1","2"
"3001","300113","1","4",14.714113633007,7.59659258998962,12.3126911294207,"1","2"
"3001","300114","1","4",14.6616975170807,7.93717331891133,12.5135724498962,"1","2"
"3001","300115","1","4",14.0388612753671,9.10859748208153,12.6669891543311,"1","2"
"3001","300116","2","4",12.6934044998964,10.1346782768583,11.4723176336183,"1","2"
"3001","300117","1","5",11.3765303042273,10.2821909492576,11.2662537037369,"1","2"
"3001","300118","1","4",11.6182643952706,10.1346782768583,10.6275802909241,"1","2"
"3001","300119","1","3",11.3092722573104,10.4752590057801,10.2163011454944,"1","2"
"3001","300120","2","3",13.1122139263677,7.59659258998962,14.8394722294838,"1","2"
"3002","300201","1","6",6.72747142295494,10.6227716781793,12.5500897578239,"1","2"
"3002","300202","1","4",13.6657814442639,7.74410526238883,12.7425870343478,"1","2"
"3002","300203","1","3",9.69902092052117,8.2799233518389,13.7789865221562,"1","2"
"3002","300204","1","4",13.4227477075698,8.76801675315982,11.655047123711,"1","2"
"3002","300205","1","5",13.3015319014847,7.93717331891133,11.2662537037369,"1","2"
"3002","300206","1","5",9.94075501156448,10.4752590057801,12.7246827050674,"1","2"
"3002","300207","1","6",10.3093763658105,12.8202766361263,12.4377974460108,"1","2"
"3002","300208","2","3",10.0847892903337,7.93717331891133,13.0341871190161,"1","2"
"3002","300209","1","4",11.766757150897,8.08468599131054,13.244338510341,"1","2"
"3002","300210","1","4",11.3765303042273,8.42743602423811,11.6035421631651,"1","2"
"3002","300211","1","4",11.4517648928378,11.9417085137487,14.9250083842707,"1","2"
"3002","300212","1","4",11.7869881005487,7.93717331891133,14.9963734917992,"1","2"
"3002","300213","1","6",11.766757150897,9.25611015448074,12.9061409175989,"1","2"
"3002","300214","1","5",11.5439543638546,7.59659258998962,13.4859904961909,"1","2"
"3002","300215","1","6",15.1262343951665,7.44907991759041,15.5092644957646,"1","2"
"3002","300216","2","4",9.11947609873445,10.4752590057801,11.9513442089153,"1","2"
"3002","300217","2","4",11.1872123291103,10.4752590057801,12.9901572391855,"1","2"
"3002","300218","1","5",11.408727238771,10.7702843505785,14.7549684908285,"1","2"
"3002","300219","1","5",12.5462113899208,10.4752590057801,13.0065216388343,"1","2"
"3002","300220","1","5",10.9656974194496,9.10859748208153,11.2662537037369,"1","2"
"3003","300301","2","4",12.6463774026311,7.93717331891133,12.5865344945267,"1","2"
"3003","300302","1","4",11.1872123291103,10.6227716781793,11.3548004501287,"1","2"
"3003","300303","2","5",11.1537275171848,8.2799233518389,12.3541571811391,"1","2"
"3003","300304","2","4",10.8904628308391,12.0349885860011,11.2329205701973,"1","2"
"3003","300305","2","4",9.14548013241761,7.93717331891133,12.3065875855146,"1","2"
"3003","300306","1","6",11.1537275171848,12.8202766361263,11.2861802123369,"1","2"
"3003","300307","2","6",9.61895276659718,12.8202766361263,12.8333480608112,"1","2"
"3003","300308","1","5",12.2896353678869,9.25611015448074,14.0840281052274,"1","2"
"3003","300309","1","4",11.3765303042273,10.1346782768583,9.59105290634982,"1","2"
"3003","300310","2","2",14.903431608124,7.59659258998962,15.1710669030226,"1","2"
"3003","300311","1","4",13.110914280717,8.08468599131054,13.1604770413636,"1","2"
"3003","300312","1","4",14.6414665674291,8.91552942555903,11.0756523171281,"1","2"
"3003","300313","2","2",12.6098086566206,12.136945874277,12.6550009038646,"1","2"
"3003","300315","1","4",11.7856884548979,10.1346782768583,11.402339011348,"1","2"
"3003","300316","1","3",13.1122139263677,8.76801675315982,14.544848092309,"1","2"
"3003","300317","1","4",12.0975218817508,10.9655217111068,11.8467765332087,"1","2"
"3003","300318","1","4",14.8832006584724,7.93717331891133,13.2341008387448,"1","2"
"3003","300319","1","5",11.3546363887376,10.8180090387076,14.23501042662,"1","2"
"3003","300320","1","4",11.7856884548979,8.08468599131054,13.5360196498385,"1","2"
"3004","300402","1","5",14.4942734574534,10.4752590057801,15.5092644957646,"2","3"
"3004","300404","1","6",10.272819388069,11.3061024400285,12.2296960303824,"2","3"
"3004","300405","1","6",13.110914280717,8.76801675315982,13.7383070279788,"2","3"
"3004","300407","2","5",11.4695458987791,8.76801675315982,12.0605071207744,"2","3"
"3004","300408","1","5",13.956553309473,8.76801675315982,14.526272164403,"2","3"
"3004","300410","1","5",13.3015319014847,12.8202766361263,11.7609509389805,"2","3"
"3004","300411","2","6",9.28573360357615,11.4536151124278,12.6066351892399,"2","3"
"3004","300412","1","5",13.795827538673,7.93717331891133,13.2549883067139,"2","3"
"3004","300413","1","5",12.0266591046071,12.8202766361263,12.831452170896,"2","3"
"3004","300414","2","3",12.8691801896736,9.30383484260989,12.3646029694093,"2","3"
"3004","300415","1","6",14.2818950120612,9.30383484260989,11.4854946473376,"2","3"
"3004","300417","2","3",13.5731578424957,8.2799233518389,13.1080485855415,"2","3"
"3004","300418","1","6",15.1262343951665,7.93717331891133,12.3216458200985,"2","3"
"3004","300419","2","5",11.3765303042273,7.79182995051799,12.0605071207744,"2","3"
"3005","300501","1","5",11.1872123291103,7.93717331891133,9.78769776719247,"2","2"
"3005","300502","1","4",11.1872123291103,8.08468599131054,11.0075439709269,"2","2"
"3005","300503","1","4",14.4942734574534,9.10859748208153,14.7265444410421,"2","2"
"3005","300504","1","4",10.5170079112796,10.1346782768583,11.3188184518361,"2","2"
"3005","300505","1","6",10.7923716733826,8.76801675315982,10.8725989788516,"2","2"
"3005","300506","1","6",12.8691801896736,10.0869535887292,11.2662537037369,"2","2"
"3005","300507","1","6",11.598045213888,8.08468599131054,13.1063609806724,"2","2"
"3005","300508","2","4",14.903431608124,9.79409754793664,11.858939045435,"2","2"
"3005","300509","1","6",11.1872123291103,7.93717331891133,11.2662537037369,"2","2"
"3005","300512","1","4",11.3765303042273,9.10859748208153,12.8668269809988,"2","2"
"3005","300513","1","3",10.4200124980446,7.93717331891133,9.14121564929763,"2","2"
"3005","300514","1","5",13.3552476630618,7.59659258998962,13.0855011430336,"2","2"
"3005","300515","2","5",11.3009206271605,7.44907991759041,11.276491375333,"2","2"
"3005","300516","1","6",10.9656974194496,12.8202766361263,11.4568550903456,"2","2"
"3005","300517","1","3",9.86198650329126,10.2821909492576,9.92896334746485,"2","2"
"3005","300518","1","4",11.4637308777298,10.4752590057801,12.0325716981531,"2","2"
"3005","300519","1","3",14.4521485923121,8.2799233518389,13.7245835507003,"2","2"
"3005","300520","1","6",11.1872123291103,7.59659258998962,11.4568550903456,"2","2"
"3006","300601","1","3",11.598045213888,7.59659258998962,10.6346700181105,"2","2"
"3006","300602","1","4",9.21847555665933,10.2821909492576,12.4746137067518,"2","2"
"3006","300603","1","5",10.3881566423528,11.9894332018778,13.0408005431824,"2","2"
